ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
215,Devenny,M,CRY,5,0,0.27,10,0.32,10,0.33,10,0.35,10,0.32,10
492,Awoniyi,F,NFO,5.5,0.5,0.33,10,0.29,10,0.35,10,0.28,10,0.34,10
194,Thomas-Asante,F,COV,5,0.8,0.26,10,0.40,10,0.28,10,0.33,10,0.29,10
348,Piroe,F,LEE,5,0.5,0.27,10,0.36,10,0.30,10,0.32,10,0.31,10
410,Monga,M,MCI,5,0,0.31,10,0.28,10,0.31,10,0.24,10,0.26,10
224,Nketiah,F,CRY,5.5,0.5,0.28,10,0.28,10,0.28,10,0.32,10,0.24,10
377,Munoz,M,LIV,6.5,0.7,0.30,10,0.30,10,0.27,10,0.27,10,0.24,10
485,Bakwa,M,NFO,5.5,0,0.30,10,0.23,10,0.27,10,0.23,10,0.27,10
343,James,M,LEE,5,0.1,0.27,10,0.27,10,0.24,10,0.25,10,0.25,10
270,Reed,M,FUL,4.5,1.1,0.26,10,0.26,10,0.27,10,0.23,10,0.24,10
244,Armstrong,M,EVE,5,0.1,0.27,10,0.25,10,0.25,10,0.24,10,0.25,10
245,Dibling,M,EVE,5.5,0,0.30,10,0.24,10,0.24,10,0.23,10,0.24,10
344,Gruev,M,LEE,5,0,0.24,10,0.24,10,0.23,10,0.24,10,0.25,10
341,Gnonto,M,LEE,5,0.1,0.23,10,0.26,10,0.22,10,0.25,10,0.24,10
42,Guessand,M,CRY,5.5,0,0.24,10,0.24,10,0.24,10,0.26,10,0.23,10
460,Willock,M,NEW,5,0.1,0.22,10,0.22,10,0.25,10,0.23,10,0.27,10
340,Gelhardt,M,LEE,5,0,0.23,10,0.25,10,0.21,10,0.23,10,0.22,10
288,Dowell,M,HUL,4.5,0.4,0.22,10,0.24,10,0.23,10,0.21,10,0.21,10
144,Gusto,D,CHE,5,1.1,0.23,10,0.23,10,0.18,10,0.25,10,0.21,10
292,Ömür,M,HUL,5,0,0.22,10,0.23,10,0.23,10,0.20,10,0.20,10
35,Bogarde,M,AVL,5,0.1,0.24,10,0.19,10,0.20,10,0.20,10,0.19,10
66,Soler,D,BOU,4,0.5,0.21,10,0.21,10,0.19,10,0.20,10,0.19,10
266,Cairney,M,FUL,5,0,0.20,10,0.20,10,0.22,10,0.18,10,0.19,10
364,Tsimikas,D,LIV,5,0.1,0.21,10,0.21,10,0.20,10,0.19,10,0.18,10
120,Svoboda,D,BHA,5,0.1,0.21,10,0.19,10,0.20,10,0.19,10,0.18,10
207,Mingueza,D,CRY,4.5,0.1,0.19,10,0.19,10,0.19,10,0.20,10,0.18,10
90,Hickey,D,BRE,4.5,0.1,0.21,10,0.19,10,0.19,10,0.18,10,0.18,10
556,Targett,D,HUL,4,2.9,0.19,10,0.19,10,0.19,10,0.18,10,0.18,10
243,Alcaraz,M,EVE,5,0.1,0.20,10,0.18,10,0.18,10,0.17,10,0.19,10
170,Emegha,F,CHE,5,0.1,0.18,5,0.21,5,0.15,5,0.21,5,0.16,5
486,McAtee,M,NFO,5.5,0,0.20,10,0.17,10,0.19,10,0.16,10,0.17,10
76,Tóth.A,M,BOU,5,0,0.16,10,0.20,10,0.17,10,0.18,10,0.15,10
359,Gomez,D,LIV,5,0,0.19,10,0.17,10,0.16,10,0.16,10,0.15,10
580,Charles,M,FUL,5,0.1,0.17,7,0.17,7,0.18,7,0.15,7,0.15,7
89,Henry,D,BRE,4.5,0.2,0.16,10,0.15,10,0.16,10,0.15,10,0.15,10
46,Barkley,M,AVL,5,0.2,0.18,5,0.13,5,0.15,5,0.15,5,0.14,5
44,Bailey,M,AVL,5.5,0.1,0.16,5,0.13,5,0.16,5,0.16,5,0.14,5
167,Delap,F,CHE,5.5,0.5,0.13,5,0.16,5,0.11,5,0.18,5,0.14,5
216,Esse,M,CRY,5,0,0.16,5,0.14,5,0.14,5,0.15,5,0.13,5
281,Drameh,D,HUL,4,0,0.13,10,0.14,10,0.14,10,0.13,10,0.13,10
164,Quenda,M,CHE,5.5,0.1,0.13,5,0.14,5,0.11,5,0.14,5,0.12,5
168,Marc Guiu,F,CHE,5,0.4,0.13,5,0.15,5,0.09,5,0.15,5,0.11,5
246,Röhl,M,EVE,5,0.1,0.14,5,0.12,5,0.12,5,0.12,5,0.13,5
219,J.Rak-Sakyi,M,CRY,5,0,0.12,5,0.12,5,0.12,5,0.12,5,0.11,5
