ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins
329,Rodon,D,LEE,4.5,3.6,3.09,90,2.75,90,2.72,90,3.27,90,2.21,90
471,Milenković,D,NFO,5.5,1.8,2.15,90,2.82,90,2.76,90,3.35,90,2.92,90
257,Bassey,D,FUL,4.5,0.8,3.42,90,3.00,90,1.99,90,2.51,90,3.02,90
47,Kamara,M,AVL,5,0.3,2.52,90,2.84,90,2.89,90,2.63,90,2.72,90
304,O'Shea,D,IPS,4,3.4,2.44,90,2.27,90,2.86,90,3.06,90,2.96,90
496,Kinsky,G,TOT,4.5,22.7,2.38,90,3.00,90,3.15,90,2.72,90,2.32,90
467,Sels,G,NFO,5,1.5,2.27,90,2.70,90,2.67,90,3.06,90,2.78,90
545,Sadiki,M,SUN,5,0.3,2.83,90,2.76,90,2.56,90,2.46,90,2.79,90
60,Hill,D,BOU,5.5,0.9,3.32,90,2.36,90,2.88,90,2.33,90,2.50,90
176,Dasilva,D,COV,4,0.8,3.32,90,1.67,90,2.71,90,3.12,90,2.57,90
472,Murillo,D,NFO,5.5,1.7,2.04,90,2.69,90,2.64,90,3.20,90,2.80,90
474,Jair Cunha,D,NFO,4.5,0.2,2.02,90,2.68,90,2.63,90,3.20,90,2.79,90
534,Hume,D,SUN,4.5,6.4,3.16,79,2.89,79,2.30,79,2.01,79,2.93,79
265,Berge,M,FUL,5,0.4,2.81,72,2.69,72,2.46,72,2.59,72,2.72,72
161,Lavia,M,CHE,5,0.1,1.68,35,2.65,64,3.03,64,2.86,64,3.03,64
57,Petrović,G,BOU,4.5,3.3,3.02,90,2.42,90,2.75,90,2.39,90,2.51,90
238,Grealish,M,MCI,6.5,0.2,2.63,35,2.76,35,2.50,35,2.77,35,2.42,35
399,Cherki,M,MCI,7.5,10.5,2.62,35,2.76,35,2.49,35,2.77,35,2.40,35
182,Amenda,D,COV,4,0.9,3.23,90,1.61,90,2.63,90,3.04,90,2.50,90
392,Aït-Nouri,D,MCI,5.5,0.8,2.66,35,2.93,35,2.32,35,2.97,35,2.11,35
16,Madueke,M,ARS,6.4,0.3,2.49,35,2.51,35,2.71,35,2.48,35,2.77,35
532,Ballard,D,SUN,5,5.1,3.11,90,2.82,90,2.18,90,1.85,90,2.87,90
439,Šeško,F,MUN,7,1.8,2.71,35,2.63,35,2.27,35,2.59,35,2.59,35
462,Steur,M,NEW,5,0.1,1.69,35,2.77,55,2.79,55,2.78,55,2.73,55
429,Rashford,M,MUN,7,1.7,2.69,35,2.62,35,2.23,35,2.56,35,2.55,35
64,Smith,D,BOU,4.5,0.1,3.15,90,2.22,90,2.73,90,2.19,90,2.36,90
541,Meunier,D,SUN,4.5,0.3,3.04,90,2.77,90,2.15,90,1.85,90,2.81,90
24,Nelson,M,ARS,5.5,0,2.42,35,2.42,35,2.61,35,2.41,35,2.66,35
14,Eze,M,ARS,6.5,1.8,2.38,35,2.40,35,2.58,35,2.37,35,2.64,35
415,Dorgu,M,MUN,6,1.1,2.13,35,2.66,45,2.28,45,2.59,45,2.58,45
377,Munoz,M,LIV,6.5,0.6,2.54,35,2.50,35,2.48,35,2.49,35,2.20,35
306,Greaves,D,IPS,4,1.4,2.16,90,1.98,90,2.58,90,2.76,90,2.67,90
389,Matheus N.,D,MCI,6,1.5,1.93,26,2.86,35,2.25,35,2.89,35,2.05,35
17,Merino,M,ARS,6,0.6,2.30,35,2.31,35,2.50,35,2.29,35,2.55,35
401,Marmoush,F,TOT,7,1.2,2.32,35,2.45,35,2.49,35,2.39,35,2.31,35
259,Diop,D,IPS,4,17.1,2.11,90,1.94,90,2.54,90,2.72,90,2.63,90
22,Nwaneri,M,ARS,5.5,0,2.30,35,2.30,35,2.48,35,2.29,35,2.53,35
381,Koumas,M,LIV,5,0,2.45,35,2.41,35,2.39,35,2.40,35,2.12,35
410,Monga,M,MCI,5,0,2.36,35,2.46,35,2.26,35,2.47,35,2.19,35
566,Silva,D,BOU,5,0.4,2.87,90,2.06,90,2.52,90,2.01,90,2.19,90
18,Martinelli,M,ARS,6.4,0.2,2.23,35,2.24,35,2.42,35,2.23,35,2.47,35
9,Hincapie,D,ARS,5.4,1.5,2.13,35,2.11,35,2.59,35,2.05,35,2.68,35
396,Vitor Reis,D,MCI,4.5,0,2.36,35,2.61,35,2.05,35,2.64,35,1.86,35
157,Estêvão,M,CHE,6.5,1.1,2.31,35,2.06,35,2.44,35,2.27,35,2.44,35
407,Echeverri,M,MCI,5,0,2.31,35,2.41,35,2.22,35,2.42,35,2.15,35
529,Roefs,G,SUN,5,4,2.63,90,2.45,90,2.10,90,1.86,90,2.46,90
20,Dowman,M,ARS,5.4,0.1,2.22,35,2.22,35,2.39,35,2.21,35,2.43,35
364,Tsimikas,D,LIV,5,0.1,2.52,35,2.42,35,2.38,35,2.40,35,1.74,35
383,Elliott,M,LIV,5.5,0.1,2.39,35,2.35,35,2.33,35,2.34,35,2.05,35
536,Reinildo,D,SUN,4.5,0.5,2.79,90,2.52,90,1.94,90,1.65,90,2.56,90
136,Welbeck,F,CHE,6,1,2.31,35,2.08,35,2.40,35,2.25,35,2.39,35
29,M.Bizot,G,AVL,4.5,0.1,0.00,0,3.06,90,3.17,90,2.46,90,2.74,90
403,Sávio,M,TOT,6.5,0.8,2.17,35,2.33,35,2.38,35,2.26,35,2.16,35
23,Fábio Vieira,M,ARS,5.5,0,2.16,35,2.16,35,2.33,35,2.15,35,2.37,35
463,Woltemade,F,NEW,6,1.5,2.12,35,2.22,35,2.22,35,2.23,35,2.19,35
166,N.Jackson,F,CHE,6.5,0.3,2.21,35,2.00,35,2.29,35,2.17,35,2.29,35
526,Solanke,F,TOT,6,1.3,2.13,35,2.23,35,2.26,35,2.19,35,2.13,35
42,Guessand,M,CRY,5.5,0,1.91,35,2.16,35,2.27,35,2.28,35,2.27,35
461,Touré,M,NEW,6,0.2,2.05,35,2.18,35,2.19,35,2.18,35,2.14,35
336,Okafor,M,LEE,6,0.4,2.23,35,2.18,35,2.14,35,2.25,35,1.92,35
100,Carvalho,M,BRE,5,0,2.21,35,2.25,35,2.18,35,2.04,35,2.04,35
164,Quenda,M,CHE,5.5,0,2.14,35,1.94,35,2.24,35,2.11,35,2.24,35
31,Konsa,D,ARS,4.5,10.9,1.96,35,1.93,35,2.39,35,1.87,35,2.47,35
446,Schär,D,NEW,5,0.3,1.85,35,2.19,35,2.25,35,2.20,35,2.12,35
609,Shahar,D,NEW,4,0.1,1.85,35,2.18,35,2.23,35,2.18,35,2.10,35
186,Mason-Clark,M,COV,5.5,0.1,2.31,35,1.75,35,2.14,35,2.25,35,2.08,35
158,Gittens,M,CHE,6,0,2.10,35,1.91,35,2.20,35,2.07,35,2.20,35
520,Bergvall,M,TOT,5.5,0.2,1.65,35,2.24,45,2.28,45,2.18,45,2.11,45
579,Araujo,D,LIV,5.5,2.7,2.30,35,2.21,35,2.17,35,2.19,35,1.58,35
168,Marc Guiu,F,CHE,5,0.5,2.11,35,1.94,35,2.16,35,2.07,35,2.16,35
378,McConnell,M,LIV,4.5,0.3,2.15,35,2.12,35,2.10,35,2.11,35,1.88,35
564,Scherpen,G,IPS,4.5,0.6,1.82,90,1.66,90,2.23,90,2.37,90,2.27,90
515,Maddison,M,TOT,6.5,1,1.56,26,2.19,34,2.31,35,2.19,35,2.09,35
584,Hamer,M,COV,5.5,0.1,2.27,35,1.70,35,2.09,35,2.20,35,2.03,35
74,Brooks,M,BOU,5,0.1,2.22,35,1.97,35,2.07,35,1.99,35,1.99,35
503,Van de Ven,D,TOT,5,4.3,1.85,35,2.21,35,2.31,35,2.05,35,1.81,35
207,Mingueza,D,CRY,4.5,0.1,1.45,35,1.96,35,2.25,35,2.29,35,2.25,35
600,Osman,M,BHA,5,0,1.95,35,2.15,35,2.09,35,1.88,35,2.12,35
539,O'Nien,D,SUN,4,3.4,1.54,35,2.44,66,1.98,66,1.75,66,2.46,66
89,Henry,D,BRE,4.5,0.2,2.18,35,2.25,35,2.08,35,1.80,35,1.83,35
126,O'Riley,M,BHA,5.5,0.1,1.93,35,2.14,35,2.08,35,1.87,35,2.11,35
113,F.Kadıoğlu,D,BHA,4.5,2.3,1.78,35,2.31,35,2.15,35,1.63,35,2.24,35
512,Kudus,M,TOT,6.5,0.1,1.18,18,1.75,25,2.50,35,2.38,35,2.28,35
219,J.Rak-Sakyi,M,CRY,5,0,1.78,35,2.00,35,2.10,35,2.11,35,2.10,35
492,Awoniyi,F,COV,5.5,0.8,2.19,35,1.71,35,2.05,35,2.14,35,1.99,35
216,Esse,M,CRY,5,0,1.76,35,1.99,35,2.11,35,2.11,35,2.10,35
262,Smith Rowe,M,FUL,5.5,0.4,2.13,35,2.05,35,1.84,35,1.97,35,2.08,35
561,Anselmino,D,CHE,4.5,0,1.95,35,1.60,35,2.25,35,1.96,35,2.25,35
44,Bailey,M,AVL,5.5,0.1,1.84,35,2.08,35,2.10,35,1.95,35,2.00,35
205,Sosa,D,CRY,4.5,0,1.40,35,1.91,35,2.21,35,2.24,35,2.21,35
511,Souza,D,TOT,4,0.3,1.80,35,2.15,35,2.24,35,2.00,35,1.77,35
583,Chavarria,D,CHE,5,0.2,1.94,35,1.59,35,2.24,35,1.95,35,2.24,35
135,Yohanna,M,BHA,5,0.1,1.90,35,2.10,35,2.04,35,1.84,35,2.07,35
105,Anthony,M,BRE,6,0.2,2.05,35,2.08,35,2.02,35,1.89,35,1.90,35
599,Cherif,F,COV,5,0.1,2.15,35,1.69,35,2.02,35,2.10,35,1.97,35
588,Khalaili,D,CRY,5,0.1,1.40,35,1.90,35,2.20,35,2.23,35,2.19,35
595,Gozo,M,CRY,5,0,1.75,35,1.96,35,2.07,35,2.07,35,2.06,35
211,Yeremy,M,CRY,5.5,0.2,1.74,35,1.96,35,2.07,35,2.07,35,2.06,35
361,Lucky,D,LIV,4,0.1,2.18,35,2.09,35,2.05,35,2.07,35,1.48,35
108,Wilson,F,BRE,5.5,0.4,2.02,35,2.04,35,2.00,35,1.91,35,1.90,35
269,Sessegnon,D,FUL,4.5,0.4,2.29,35,2.08,35,1.56,35,1.83,35,2.10,35
435,Lacey,M,MUN,5,0,2.07,35,2.03,35,1.77,35,1.98,35,1.98,35
577,Tomiyasu,D,CRY,4.5,0.4,1.38,35,1.88,35,2.18,35,2.21,35,2.18,35
